prompt,3,7,11,15,19,23,seed
A photo of a Tarsier.,0,0,1,1,1,1,0
A photo of a Tarsier.,0,0,1,1,1,1,1
A photo of a Tarsier.,0,0,1,0,1,1,2
A photo of a Tarsier.,0,1,1,1,1,1,3
A photo of a Gerenuk.,0,0,1,1,1,1,0
A photo of a Gerenuk.,0,0,0,1,1,1,1
A photo of a Gerenuk.,0,0,0,0,1,1,2
A photo of a Gerenuk.,0,0,0,1,1,1,3
A photo of a Jerboa.,0,0,1,1,1,1,0
A photo of a Jerboa.,0,0,0,1,1,1,1
A photo of a Jerboa.,0,1,0,1,1,1,2
A photo of a Jerboa.,0,1,1,1,1,1,3
A photo of a Babirusa.,0,0,1,1,1,1,0
A photo of a Babirusa.,0,0,1,1,1,1,1
A photo of a Babirusa.,0,0,0,1,1,1,2
A photo of a Babirusa.,0,0,1,1,1,1,3
A photo of a Saola.,0,0,0,1,1,1,0
A photo of a Saola.,0,0,1,0,1,1,1
A photo of a Saola.,0,0,0,1,1,1,2
A photo of a Saola.,0,0,0,1,1,1,3
A photo of a Galago.,0,0,1,1,1,1,0
A photo of a Galago.,0,0,1,1,1,1,1
A photo of a Galago.,0,0,0,1,1,1,2
A photo of a Galago.,0,0,0,1,1,1,3
A photo of a Vervet.,0,0,0,1,1,1,0
A photo of a Vervet.,0,0,1,1,1,1,1
A photo of a Vervet.,0,0,0,1,1,1,2
A photo of a Vervet.,0,0,0,1,1,1,3
A photo of a guppy.,0,0,1,1,1,1,0
A photo of a guppy.,0,0,1,1,1,1,1
A photo of a guppy.,0,0,1,1,1,1,2
A photo of a guppy.,0,0,0,1,1,1,3
A photo of a Celestial Pearl Danio.,0,0,1,1,1,1,0
A photo of a Celestial Pearl Danio.,0,0,0,1,1,1,1
A photo of a Celestial Pearl Danio.,0,0,0,1,1,1,2
A photo of a Celestial Pearl Danio.,0,0,0,1,1,1,3
A photo of a Herring.,0,0,0,1,1,1,0
A photo of a Herring.,0,0,0,0,1,1,1
A photo of a Herring.,0,0,0,1,1,1,2
A photo of a Herring.,0,0,0,0,1,1,3
A photo of a Pike.,0,0,1,1,1,1,0
A photo of a Pike.,0,0,1,1,1,1,1
A photo of a Pike.,0,0,0,1,1,1,2
A photo of a Pike.,0,0,0,1,1,1,3
A photo of a Walleye.,0,0,1,1,1,1,0
A photo of a Walleye.,0,0,1,1,1,1,1
A photo of a Walleye.,0,0,1,1,1,1,2
A photo of a Walleye.,0,0,1,1,1,1,3
A photo of a Grebe.,0,0,0,1,1,1,0
A photo of a Grebe.,0,0,0,1,1,1,1
A photo of a Grebe.,0,0,0,0,1,1,2
A photo of a Grebe.,0,0,0,1,1,1,3
A photo of a Spoonbill.,0,0,1,1,1,1,0
A photo of a Spoonbill.,0,0,0,1,1,1,1
A photo of a Spoonbill.,0,0,0,1,1,1,2
A photo of a Spoonbill.,0,0,1,1,1,1,3
A photo of a Bee-eater.,0,0,0,0,1,1,0
A photo of a Bee-eater.,0,0,0,0,1,1,1
A photo of a Bee-eater.,0,0,0,0,1,1,2
A photo of a Bee-eater.,0,0,0,1,1,1,3
A photo of a Taipan.,0,0,0,0,1,1,0
A photo of a Taipan.,0,0,0,0,1,0,1
A photo of a Taipan.,0,0,0,0,1,1,2
A photo of a Taipan.,0,0,0,0,0,1,3
A photo of a Copperhead.,0,0,1,1,1,1,0
A photo of a Copperhead.,0,0,0,0,1,1,1
A photo of a Copperhead.,0,0,0,0,1,0,2
A photo of a Copperhead.,0,0,0,1,1,1,3
A photo of an Anilius.,0,0,0,0,0,0,0
A photo of an Anilius.,0,0,0,0,0,0,1
A photo of an Anilius.,0,0,0,0,0,0,2
A photo of an Anilius.,0,0,0,0,0,0,3
A photo of a Skink.,0,0,0,1,1,1,0
A photo of a Skink.,0,0,0,1,1,1,1
A photo of a Skink.,0,0,0,0,1,0,2
A photo of a Skink.,0,0,0,1,1,1,3
A photo of a Bearded Dragon.,0,0,1,1,1,1,0
A photo of a Bearded Dragon.,0,0,1,1,1,1,1
A photo of a Bearded Dragon.,0,0,1,1,1,1,2
A photo of a Bearded Dragon.,0,0,1,1,1,1,3
A photo of a Ladybug.,0,0,1,1,1,1,0
A photo of a Ladybug.,0,0,1,1,1,1,1
A photo of a Ladybug.,0,1,1,1,1,1,2
A photo of a Ladybug.,0,1,1,1,1,1,3
A photo of a Scarab.,0,0,0,0,1,1,0
A photo of a Scarab.,0,0,1,0,1,1,1
A photo of a Scarab.,0,0,0,0,1,1,2
A photo of a Scarab.,0,0,0,1,0,1,3
A photo of a Blue morpho.,0,0,0,1,1,1,0
A photo of a Blue morpho.,0,0,0,1,1,1,1
A photo of a Blue morpho.,0,0,0,1,1,1,2
A photo of a Blue morpho.,0,0,0,1,1,1,3
A photo of a Cloudless sulphur.,0,0,0,1,1,1,0
A photo of a Cloudless sulphur.,0,0,0,1,1,1,1
A photo of a Cloudless sulphur.,0,0,0,0,1,1,2
A photo of a Cloudless sulphur.,0,0,0,1,1,1,3
A photo of a Giant anteater.,0,0,0,1,0,1,0
A photo of a Giant anteater.,0,1,0,1,0,1,1
A photo of a Giant anteater.,0,0,1,0,1,0,2
A photo of a Giant anteater.,0,0,1,1,1,1,3
